IP Year,Investment Name,Project Details,Department,Service Area,Investment Type,Capital Cost,Percent Funded,Class Estimate,SPAP Theme,Lifecycle Activity Driver,Neighbourhood,Ward,Location,Funded,Unfunded,Funding Year,Growth Enabling or Supportive,Previously Approved Project Funding,GAHP,Rank,Disposal,Preliminary Capital Cost 10 Year,Preliminary Funded 10 Year,Preliminary Unfunded 10 Year,Preliminary Capital Cost 6 Year,Preliminary Funded 6 Year,Preliminary Unfunded 6 Year
2024,Brady Road Resource Management Facility - Onsite Leachate Management,The proposed pilot project will explore the potential to develop on-site leachate reuse management using land application for leachate generated at the Brady Road Resource Management Facility. Work would be done on the closed portions of the landfill.,Water and Waste,Solid Waste Disposal,Project,0,0,4,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),0,0,2028,,,N,4,,,,,,,
2023,Pembina Hwy Rehabilitation at Route 165,text,Public Works,Bridges - Regional,Project,20400000,1,5,Good Health & Well-Being,Renew,Montcalm,Waverley West,POINT (-97.15426573 49.81776013),2000000,0,2024,,,,,,,,,,,
2024,Insect Control Branch Building and Yards - 3 Grey Street,"The proposed project involves the relocation of the Insect Control Building, Yards and Heliport at 3 Grey Street to city-owned lands adjacent to the South End Water Pollution Control Centre.",Public Works,Insect Control,Project,0,0,3,"A Livable, Safe, Healthy, Happy City",Upgrade,Tyne-Tees,Elmwood - East Kildonan,POINT (-97.09573193 49.902051),0,0,2027,,,N,1,,,,,,,
2023,St Mary's Rd widening - St Anne's to Marion,text,Public Works,Roads - Regional,Project,68326000,0,5,Environmental Resilience,Upgrade,Norwood West,St. Boniface,POINT (-97.11774038 49.87495142),0,6363000,2025,,,,,,,,,,,
2024,Relocation of Fleet head office and Tecumseh Shops,"Move the WFMA operations of head office, repair facility, and manufacturing facility from 195-215 Tecumseh/770 Ross to a new location.",Public Works,Multiple Organizational Support Services,Project,0,0,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,West Alexander,Point Douglas,POINT (-97.1607308148397 49.9074105448269),0,0,2031,,,N,6,,,,,,,
2023,Lagimodiere Twin Overpasses Rehabilitation (Concordia & CPR Keewatin),text,Public Works,Bridges - Regional,Project,37742000,1,5,Good Health & Well-Being,Renew,Eaglemere,Elmwood - East Kildonan,POINT (-97.05505486 49.91319913),0,0,2025,,,,,,,,,,,
2024,Parks and Recreation Enhancement Program,"Program is focused on playground restorations, including play equipment and safety surface replacements, along with associated amenity and pathway improvements to enhance accessibility, and other park and recreation enhancements.",Public Works,Parks - Local,Program,0,1,,"A Livable, Safe, Healthy, Happy City",Renew,,,,1275000,0,2033,,,Y,1,,,,,,,
2024,Environmental Standards Laboratory Facility Plan,"Environmental Standards Division operates a Canadian Association for Laboratory Accreditation (CALA) accredited laboratory for testing, monitoring, and compliance reporting on behalf of the Water and Waste Department. To ensure the laboratory can continue to stay up-to-date with CALA accreditation standards, meet future regulatory monitoring and reporting requirements, and accommodate the increasing demands of the laboratory's internal clients, a new facility plan is required. The plan will also investigate options to bring additional testing in-house with further accreditation requirements.",Water and Waste,Wastewater,Project,0,1,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,West Kildonan Industrial,Old Kildonan,POINT (-97.11006429 49.95251634),0,0,2033,,,N,8,,,,,,,
2023,Parks and Recreation Enhancement Program,text,Public Works,Parks - Local,Program,12407000,1,,Good Health & Well-Being,Renew,,,,300000,0,2024,,,,,,,,,,,
2024,Indoor Aquatics and Rec Centres Capital Renewal Program,"The indoor aquatic and recreation centre capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to 12 indoor aquatic and recreation centres owned and operated by the City of Winnipeg. Projects may include building envelope and structural improvements, improvements to mechanical and electrical systems including heating, ventilation and lighting, accessibility projects, and other interior improvements.",Assets and Project Management,Recreation,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,21889000,2031,,,N,13,,,,,,,
2024,Osborne Street Underpass AT Improvements,"This project will examine cost effective functional design alternatives for an active transportation grade separation in the vicinity of the Osborne Street Underpass in order to address a gap in the Active Transportation Network to cross the CN mainline. Functional design will also be undertaken to review rehabilitation of the existing underpass to address deficiencies in land drainage, vertical clearance and pavement condition.",Public Works,Roads - Regional,Project,0,0,5,A City that Works for Residents through Improved Customer Service,Upgrade,River-Osborne,Fort Rouge - East Fort Garry,POINT (-97.14092029 49.87328292),0,0,2033,,,Y,6,,,,,,,
2023,Shoal Lake Aqueduct Intake Facility Rehabilitation,text,Water and Waste,Water,Program,9350000,1,,Environmental Resilience,Upgrade,,,,1200000,0,2024,,,,,,,,,,,
2024,WWD Document Management System,"The collaboration and document platform provides the ability to upload, store, and retrieve documents in a concise, practical manner using a standard practice for all divisions within the department. This will increase both internal and external stakeholders accessibility to departmental documents. A document management system will also automate the review and approval processes within Water and Waste Department resulting in faster turn-around time.",Innovation and Technology,Wastewater,Program,0,1,,A City that Works for Residents through Improved Customer Service,Renew,,,,850000,0,2030,,,N,6,,,,,,,
2023,Communication Sites - P25 Sub Gear/Infrastructure,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,25530000,0,3,City Building,Renew,,,,0,1542000,2032,,,,,,,,,,,
2023,Equipment Obsolescence,text,Fire Paramedic Service,Fire & Medical Response,Program,26440000,1,,Good Health & Well-Being,Renew,,,,2994000,0,2027,,,,,,,,,,,
2024,In Car Computing,"The mobile computing technology in Winnipeg Police Service (WPS) vehicles must be evergreened every five years due to the obsolescence of this equipment and the harsh environment to which they are subjected. Currently 235 vehicles require mobile computing devices plus a small contingency for spare devices. This includes the evergreening of laptops/tablets and keyboards, docks, modems, antennae, mounting equipment and associated cabling necessary to maintain connectivity with WPS public safety systems. Ergonomically placed computing devices in vehicles are critical for prevention of injuries to police officers.",Winnipeg Police Service,Police Services,Project,0,1,4,Corporate Management and Support,Upgrade,,,,0,0,2027,,,N,1,,,,,,,
2024,Sewer Renewals,"This is a program to replace and/or rehabilitate combined, wastewater, and land drainage sewer infrastructure that are no longer meeting level of service objectives. A portion of the funding will be used for condition assessment of sewer assets; sewers will be replaced or rehabilitated using appropriate technologies on a risk-based level of service basis. Funds will also be utilized to update the sewer asset register, and ongoing operating costs associated with software licensing and maintenance have been included in the operating budget.",Water and Waste,Wastewater,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,28500000,0,2032,,,N,17,,,,,,,
2023,In Car Computing,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,7207000,1,4,Leadership & Good Governance,Upgrade,,,,0,0,2029,,,,,,,,,,,
2024,Enterprise Resource Planning (ERP) Peoplesoft Renewal Program,"Human Resources, Finance and most or all City employees use PeopleSoft HR and Financials ERP modules that are at end of life. Short term support for the modules is provided by a third-party company.  The City needs additional functions, features and applications that are not available in the current PeopleSoft ERP modules. Many are also not available in the latest PeopleSoft updated versions and developing them will require customizations that are cost-prohibitive.",Innovation and Technology,Multiple Organizational Support Services,Program,0,1,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2033,,,N,2,,,,,,,
2023,Arlington Bridge Rehabilitation,text,Public Works,Bridges - Regional,Project,63850000,1,5,City Building,Renew,Dufferin Industrial,Mynarski,POINT (-97.16028104 49.91439515),0,0,2028,,,,,,,,,,,
2023,Combined Sewer Overflow and Basement Flood Management Strategy: District Sewer Separation,text,Water and Waste,Wastewater,Program,368500000,1,,Environmental Resilience,Upgrade,,,,46500000,0,2026,,,,,,,,,,,
2023,Vacuum Truck Decanting Facility,text,Water and Waste,Wastewater,Project,6250000,1,3,Environmental Resilience,Growth,,,,4750000,0,2029,,,,,,,,,,,
2024,Primary Transit Network Infrastructure,"This program will support the Winnipeg Transit Master Plan complete redesign of the transit network city-wide. In the proposed new transit network, several new routes will require dedicated bus loops, stations, mobility hubs, comfort stations for bus operators, and new traffic signals where buses/ riders will be turning onto or crossing major arterial streets. This project also includes public engagement, communications, and marketing to ensure Winnipeg Transit customers and the broader public are aware and can provide input on the proposed changes and their impacts. This project also funds installation and removal of bus stop signs and other similar elements required to transition the city-wide transit network.",Winnipeg Transit,Public Transit,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2032,,,N,4,,,,,,,
2024,Transit Building Replacement and Renewal,"This multi-year capital program addresses the need for both larger and smaller scale projects within Transit's existing facilities, stops and stations. These projects are mainly required due to the age and condition of the assets.",Winnipeg Transit,Public Transit,Program,11564000,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14271355 49.86553834),1536000,0,2024,,,N,6,,,,,,,
2023,Outdoor Pools Capital Renewal Program,text,Assets and Project Management,Recreation,Program,7340000,0,,Economic Prosperity,Renew,,,,0,1240000,2026,,,,,,,,,,,
2023,Digital Evidence Management System,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,6260000,0,4,City Building,Renew,,,,0,3160000,2028,,,,,,,,,,,
2023,Harbourview Complex (Kilcona Park Renewal),text,Public Works,Parks - Regional,Project,7604000,0,5,City Building,Renew,Kil-Cona Park,North Kildonan,POINT (-97.01402533 49.93231751),0,2047000,2025,,,,,,,,,,,
2024,Parkland Acquisition,This program will establish funding for the strategic acquisition of private lands with high ecological or recreational value for the purpose of establishing new parklands.,Public Works,Parks - Regional,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Growth,,,,0,2000000,2032,,,Y,1,,,,,,,
2024,Electric Vehicles and Infrastructure,This annual program would fund replacement of approximately 16 vehicles with electric vehicles and supporting infrastructure.,Public Works,Multiple Organizational Support Services,Program,0,0,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,2000000,2028,,,N,4,,,,,,,
2023,Community Centre Renovation Grant Program (CCRGP),text,Community Services,Recreation,Commitment,10685000,1,,Good Health & Well-Being,Renew,,,,965000,0,2029,,,,,,,,,,,
2024,Arenas Capital Renewal Program,"The arena capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to 14 indoor arenas owned and operated by the City of Winnipeg or by partners via legal agreements*. Projects may include ice plant component replacements, interior improvements, heating, ventilation and electrical improvements, replacement of rink components, building envelope and structural improvements.",Assets and Project Management,Recreation,Program,210742000,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,15155000,2024,,,N,17,,,,,,,
2023,Regional Parks,text,Public Works,Parks - Regional,Program,21555000,1,,Good Health & Well-Being,Operations & Maintenance,,,,3000000,0,2031,,,,,,,,,,,
2024,West End Sewage Treatment Plant (WEWPCC) Facilities Plan,The West End Sewage Treatment Plant (WEWPCC) was upgraded to remove nutrients in 2008. Assets of the sewage treatment plant that were not part of the upgrade are in various stages of condition/life-span.,Water and Waste,Wastewater,Project,0,1,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,POINT (-97.33230115 49.83968464),0,0,2026,Growth-enabling infrastructure,,N,15,,,,,,,
2024,Water Main Renewals,"This is a continuing program to replace and/or rehabilitate deteriorating water main infrastructure. Funding is used for water main replacement, cathodic protection, valve and hydrant replacement/rehabilitation, correction of dead end mains, upgrading of substandard mains, water system studies, assessments, development of design standards and replacement of problem water services within the City right-of-way, and hydraulic improvements for fire protection purposes. Funding is also used for integrated right-of-way renewal programs coordinated with the Public Works Department.",Water and Waste,Water,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,28000000,0,2031,,,N,12,,,,,,,
2024,Soil Fabrication for Landfill Cover,"This is a program for all-season fabrication of soil to supplement city topsoil requirements. The soil fabrication process uses city residuals, such as biosolids, street sweepings from winter road operations (sand and grit), and woodchips to fabricate topsoil. This is then spread and seeded with native prairie species at the City landfills. Operations include ongoing environmental and vegetative monitoring.",Water and Waste,Solid Waste Disposal,Program,0,0,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2030,,,N,3,,,,,,,
2024,St Mary's Rd widening - St Anne's to Marion,The proposed project involves reconstruction of St Mary's Road from St Anne's Road to Marion Street with a six lane divided roadway. The project includes considerable property acquisition.,Public Works,Roads - Regional,Project,0,0,5,A City that Works for Residents through Improved Customer Service,Upgrade,Norwood West,St. Boniface,POINT (-97.11774038 49.87495142),0,0,2032,,,N,5,,,,,,,
2023,Transition to Zero Emission Buses,text,Winnipeg Transit,Public Transit,Program,629575000,1,,Environmental Resilience,Renew,,,,23042000,0,2027,,,,,,,,,,,
2023,Edward Schreyer Parkway - Plessis to Chief Peguis Trail,text,Public Works,Roads - Regional,Project,101443000,0,5,Economic Prosperity,Growth,Grassie,Transcona,POINT (-97.02524274 49.920656),0,1380000,2025,Growth-supportive infrastructure,,,,,,,,,,
2023,Customer Service & Admin Building,text,Winnipeg Transit,Public Transit,Project,15900000,0,5,City Building,Growth,Riverview,Fort Rouge - East Fort Garry,POINT (-97.13736684 49.86980955),0,15900000,2025,,,,,,,,,,,
