Sub Code,Street Name,Street Number,Historical Name,Construction Date,Condition 1,Condition 2,Date Listed,Long Report URL,Short Report URL,Map URL,Grade,Location,Point
List of Historical Resources,Main Street,596,Guest Block,1902 & 1909,"With the following exterior elements:1) three-storey common clay brick building with flat roof located mid-block on the west side of Main Street north of Alexander Avenue, its main facade facing east onto Main Street, its north and south facades hidden by neighbouring buildings and its west facade facing the back lane;2) the front (east) facade with brick pilasters on the second and third floors, second storey windows in rectilinear openings with continuous stone sills and stone heads, third storey windows in arched openings with stone lug sills and keystones and brick drip moulding, brick accenting in spandrels between second and third floor openings and corbelled brick, rusticated stone band and raised stone capped parapet at the roofline; and3) the visible portion of the rear (west) facade with windows in arched openingsWith the following interior elements:1) volume and finishes of central staircase;2) metal-clad sliding fire doors on the second and third floors; and3) skylights.",,11/10/2016,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Main-596-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Main-596-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=8710&js=y,N/A,"(49.9020879586065, -97.13681219465754)",POINT (-97.136812194658 49.902087958607)
Commemorative List,South Drive,400,Colonel R.M. Thomson House (St. John's-Ravenscourt School),1914,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=39224&js=y,N/A,"(49.84323846966552, -97.1221088477243)",POINT (-97.122108847724 49.843238469666)
List of Historical Resources,Stafford Street,161,Grosvenor Court,1909,"With the following exterior elements: 1) the 3- and 4-storey brick, stone, wood and stucco structure, located at the northwest corner of Stafford Street and Grosvenor Avenue, its front facade facing east onto Stafford Street, its south facing Grosvenor Avenue, its north facing a lane and its west facing a parking lot; 2) the front (east) facade with its smooth-cut stone base, dark red brick superstructure, two large, stone framed entrances, windows in rectilinear openings on the upper floors, partial fourth floors at the north and south ends and top levels with half-timbering, stucco and paired gable ends; 3) the south façade with large display windows, arched (2nd floor) and rectilinear (3rd floor) windows connected by metal walkways, double gable dormer and one-storey brick addition; 4) the north facade with arched openings and double gable dormer; and 5) the west facade with its common clay brick walls, windows and doors in arched openings, raised ends with Flemish gables, open wood walkways and inset stairs. With the following interior elements: 1) staircase skylights.",,22/02/2018,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Stafford-161-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Stafford-161-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=143790&js=y,N/A,"(49.870737715167714, -97.16380003282097)",POINT (-97.163800032821 49.870737715168)
Commemorative List,Balmoral Street,64,W.R. Watson House,1907,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=128645&js=y,N/A,"(49.88367151348836, -97.15331855768774)",POINT (-97.153318557688 49.883671513488)
List of Historical Resources,Donald Street,388,Phoenix Block,1910,"With the following exterior elements:1) three-storey brick and stone building with a flat roof located at the southwest corner of Donald Street and Notre Dame Avenue, its main façades facing east onto Donald Street and north onto Notre Dame Avenue, its south façade facing a back lane and its rear (west) façade facing a back lane/parking lot;2) the north façade with its recessed entrances, large display windows and metal-clad cornice on the ground floor and upper floors with windows in rectilinear openings with concrete lug sills, belt course and entablature with cornice;3) the rounded northeast corner with entrance door and windows in rectilinear openings on the upper floors;4) the east façade with central entrance, brick panels topped by glass block-filled openings to the north, upper floors windows in rectilinear openings with concrete lug sills, belt course, entablature with cornice and raised parapet with the words ""PHOENIX BLOCK""; and5) the rear (west) façades with numerous entrances and windows in rectilinear openings on all floors.With the following interior elements:1) tin ceilings; and2) wood accented main staircase.",,18/05/2016,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Donald-388-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Donald-388-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=150010&js=y,N/A,"(49.89636982940982, -97.14400206380324)",POINT (-97.144002063803 49.89636982941)
Commemorative List,Dubuc Street,252,Holy Cross Roman Catholic Church,1922,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=64469&js=y,N/A,"(49.876987943241076, -97.1160128025002)",POINT (-97.1160128025 49.876987943241)
Commemorative List,Wellington Crescent,1015,James M. Gilchrist House,1932,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=145822&js=y,N/A,"(49.87679423496518, -97.17869450383392)",POINT (-97.178694503834 49.876794234965)
List of Historical Resources,Roblin Boulevard,4025,Independent Order of Oddfellows Home,1922,"With the following exterior elements:1) three-storey brick structure on raised, stone-clad basement with gable roof with main (south) façade facing Roblin Boulevard, east and west façades facing service roads and wooded areas and rear (north) façade facing a newer residential development;2) the symmetrically designed south façade with its projecting pedimented entrance with lettering that reads, ""ODDFELLOWS HOME."" above the entrance and a stone panel with three carved interlocked chain links in the spandrel between the second and third floors, projecting east and west wings topped by gable ends with cornice returns, rectilinear window openings and roof with gable dormers and modest cornice;3) the rear (north) façade, excluding the stuccoed additions, with central projecting area flanked by the main building which included entrances for ""GIRLS"" (east side) and ""BOYS"", and arched window openings with radiating brick heads;4) the west façade with covered entrance, rectilinear window openings and modest cornice, gable dormer, gable with cornice returns and modest cornice; and5) the east façade with rectilinear window openings and modest cornice, gable dormer, gable with cornice returns and modest cornice;With the following interior elements:1) with the exception of the framed stained-glass wall hanging, the finishes and layout of the main entrance lobby.",,09/01/2023,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Roblin-4025-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Roblin-4025-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=18274&js=y,N/A,"(49.86785183040133, -97.26739216685863)",POINT (-97.267392166859 49.867851830401)
List of Historical Resources,Hargrave Street,448,Clark Brothers Warehouse,1912,"With the following exterior elements: 1) five-storey brick and stone building with flat roof located mid-block on the west side of Hargrave Street, its main façade facing east onto Hargrave Street, its north façade partially hidden by neighbouring building, its south and west façades facing parking lots;2) the main (east) façade divided into three bays by brick pilasters, ground floor with a centrally-placed display window in a rectilinear opening framed by two entrances in arched openings with stone keystones, upper floors with banks of large windows in rectilinear openings finished on the top storey by stylized brickwork on the outer two bays and a brick cornice including corbelled bands and raised and curved pilaster capitals;3) the north façade hidden on the ground floor by the neighbouring building, the visible portion with exposed reinforced concrete frame; and4) the south facade with irregularly spaced windows in rectilinear openings in the front section and a regular grid of openings in the rear section. With the following interior elements: 1) concrete structural system.",,05/12/2016,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Hargrave-448-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Hargrave-448-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=151953&js=y,N/A,"(49.89772811096563, -97.14562636614957)",POINT (-97.14562636615 49.897728110966)
Commemorative List,Main Street,939,St. Ivan Suchavsky Ukrainian Orthodox Cathedral (McDougall United [Methodist] Church),1891,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=173268&js=y,N/A,"(49.91105635821706, -97.13221324551664)",POINT (-97.132213245517 49.911056358217)
Commemorative List,Balmoral Street,80,A.T. Andrews House,1906,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=128648&js=y,N/A,"(49.884082283411146, -97.15329086733496)",POINT (-97.153290867335 49.884082283411)
Commemorative List,East Gate,45,James B. Mitchell House,1930,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=133550&js=y,N/A,"(49.87815188582822, -97.15515497192438)",POINT (-97.155154971924 49.878151885828)
List of Historical Resources,Talbot Avenue,325,Firehall No. 8,1906,,,16/04/1984,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Talbot325-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Talbot-325-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=181576&js=y,III,"(49.9077700098459, -97.11018116144419)",POINT (-97.110181161444 49.907770009846)
Commemorative List,West Gate,137,L. Verhoeven House,1903,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=146003&js=y,N/A,"(49.87548661743014, -97.15630938505458)",POINT (-97.156309385055 49.87548661743)
Nominated List,De La Cathedrale Avenue,255,St Boniface Public Library - Provencher Park Branch,1961,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=62240&js=y,N/A,"(49.890501489817275, -97.11731908139959)",POINT (-97.1173190814 49.890501489817)
Commemorative List,Portage Avenue,725,Security Storage Building (Kromar Printing Building),1929,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=155488&js=y,N/A,"(49.88840580869818, -97.16253860855134)",POINT (-97.162538608551 49.888405808698)
Commemorative List,McPhillips Street,820,Lord Nelson School,1917,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=175847&js=y,N/A,"(49.92918283765909, -97.16951217489706)",POINT (-97.169512174897 49.929182837659)
List of Historical Resources,Main Street,598,Guest Block,1902 & 1909,"With the following exterior elements:1) three-storey common clay brick building with flat roof located mid-block on the west side of Main Street north of Alexander Avenue, its main facade facing east onto Main Street, its north and south facades hidden by neighbouring buildings and its west facade facing the back lane;2) the front (east) facade with brick pilasters on the second and third floors, second storey windows in rectilinear openings with continuous stone sills and stone heads, third storey windows in arched openings with stone lug sills and keystones and brick drip moulding, brick accenting in spandrels between second and third floor openings and corbelled brick, rusticated stone band and raised stone capped parapet at the roofline; and3) the visible portion of the rear (west) facade with windows in arched openingsWith the following interior elements:1) volume and finishes of central staircase;2) metal-clad sliding fire doors on the second and third floors; and3) skylights.",,11/10/2016,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Main-598-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Main-598-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=154167&js=y,N/A,"(49.9021035584765, -97.13668273963512)",POINT (-97.136682739635 49.902103558477)
Commemorative List,Selkirk Avenue,567,Aurora Block,1914,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=180251&js=y,N/A,"(49.91666865802425, -97.14745380538527)",POINT (-97.147453805385 49.916668658024)
List of Historical Resources,Broadway,222,Fort Garry Hotel,1911,With the following interior elements:1) the Rotunda (main floor);2) the Palm Room (Drummer Boy);3) the Provencher Room;4) the Ball Room (7th floor);5) the Banquet Room (7th floor); and6) the Loggia (7th floor),,20/02/1980,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Broadway-222-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Broadway-222-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=130038&js=y,II,"(49.88787047847379, -97.13668013580893)",POINT (-97.136680135809 49.887870478474)
List of Historical Resources,Main Street,554,McLaren Hotel,1910,"With the following exterior elements:1) the seven-storey brick structure with flat roof, with its main façades facing east onto Main Street and north onto Rupert Avenue; 2) the east façade with two ground floors clad in smooth-cut stone interrupted by attached columns, modest cornices and ornate stonework around doors, the upper floors, finished in dark brick, divided into bays by pilasters with stone bases and capitals, regularly spaced rectilinear window openings with stone lug sills and complete entablature with heavy overhanging medal-clad cornice supported by oversized brackets at flat roofline; and3) flagpole is located at the northeast corner of the roof.With the following interior elements:1) none.",,26/06/2020,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Main-554-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Main-554-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=154161&js=y,N/A,"(49.900762887753054, -97.13798496341347)",POINT (-97.137984963413 49.900762887753)
List of Historical Resources,William Avenue,442,Normal School,1904,,,15/07/1991,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/William-442-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/William-442-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=159186&js=y,II,"(49.90141788538982, -97.14770076645848)",POINT (-97.147700766458 49.90141788539)
List of Historical Resources,West Gate,20,Cornish Library,1914,,,15/01/1993,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/West-Gate-20-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/West-Gate-20-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=184315&js=y,II,"(49.87836309202046, -97.15994202581435)",POINT (-97.159942025814 49.87836309202)
Commemorative List,Balmoral Street,54,Paul Ulrich House,1911,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=128642&js=y,N/A,"(49.883260744402655, -97.15334624605039)",POINT (-97.15334624605 49.883260744403)
Commemorative List,Kennedy Street,75,Willingdon Apartments,1928,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=136663&js=y,N/A,"(49.88573530142115, -97.14465911986315)",POINT (-97.144659119863 49.885735301421)
Commemorative List,East Gate,14,G.F. Klein House,1929,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=133542&js=y,N/A,"(49.87838609579423, -97.15675536602191)",POINT (-97.156755366022 49.878386095794)
Commemorative List,Banning Street,790,First Federated Church of Unitarians,1921,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=148625&js=y,N/A,"(49.89724933585718, -97.17201637742562)",POINT (-97.172016377426 49.897249335857)
Commemorative List,Andrews Street,235,Salem Reformed Church,1907,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=161357&js=y,N/A,"(49.9190356510399, -97.14383963878649)",POINT (-97.143839638786 49.91903565104)
List of Historical Resources,Arthur Street,88,Arthur Building,1901,"With the following exterior elements: 1) four-storey brick and stone warehouse with raised rusticated stone basement with its primary façade facing east onto Arthur street; 2) symmetrical main (east) façade with square headed basement and arched ground floor windows in opening and central opening (original entrance), recessed and arched upper floor windows in openings with stone lug sills topped by brick drip moulding and brick corbelling at the flat roofline; 3) unadorned south façade with arched door and windows in openings; and 4) original windowsWith the following interior elements: 1) heavy timber mill structural system; 2) original elevator grate; and 3) cast iron posts on the fourth floor",,02/03/2015,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Arthur-88-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Arthur-88-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=147692&js=y,N/A,"(49.897662714614015, -97.14099855202099)",POINT (-97.140998552021 49.897662714614)
Commemorative List,Middle Gate,94,C.H. Beckett House,1904,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=139018&js=y,N/A,"(49.87635673132952, -97.15651298520535)",POINT (-97.156512985205 49.87635673133)
Commemorative List,West Gate,50,C.H. Walsh House,1930,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=145983&js=y,N/A,"(49.87754876636973, -97.15947351856406)",POINT (-97.159473518564 49.87754876637)
Commemorative List,Main Street,826,Northern Hotel,1906,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=173236&js=y,N/A,"(49.90829662351561, -97.13399413962964)",POINT (-97.13399413963 49.908296623516)
List of Historical Resources,Qu'Appelle Avenue,366,Warwick Apartments,1908,With the following interior elements:1) interior court yard,,22/08/1983,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/QuAppelle366-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/QuAppelle366-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=155582&js=y,II,"(49.89529080044531, -97.14774013869524)",POINT (-97.147740138695 49.895290800445)
List of Historical Resources,Pioneer Avenue,149,Scott-Bathgate Building,1907,"With the following exterior elements: 1) five-storey brick and stone building located on the northwest corner of Pioneer Avenue and Westbrook Street, its main facades facing south onto Pioneer Avenue and east onto Westbrook Street, its west facade facing a surface parking lot and its rear (north) facade facing a lane;2) the south facade with its raised rusticated stone base with small basement windows and ground floor windows and door in arched openings, its corbelled brick belt course, upper floors with windows with stone accenting in rectilinear openings on floors 2 to 4, and arched on the top floor and a flat roof with corbelled brick accenting and painted signage;3) the east facade with ground floor windows and raised loading doors in arched openings and upper storey windows in arched openings and painted signage;4) the west facade with its painted signage; and5) the north facade with its raised loading platform, windows and doors in arched openings throughout and metal fire escapes.With the following interior elements: 1) heavy timber mill structural system; and2) examples of ornamental tin ceiling.",,06/06/2017,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Pioneer-149-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Pioneer-149-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=141736&js=y,N/A,"(49.89417791290335, -97.13574673533392)",POINT (-97.135746735334 49.894177912903)
List of Historical Resources,Burrows Avenue,405,Manitoba Telephone System - St. John's Exchange,1910,"With the following exterior elements: 1) two-storey red Menominee brick and stone building with flat roof on the northeast corner of Burrows Avenue and Salter Street, its south side facing Burrows Avenue, its north facade facing a back lane, its east facade facing a neighbouring building and its west facade facing Salter Street; 2) its main (south) facade with its central bay protruding slightly and holding a raised cut stone entrance with wide stairs, low stone walls at either end with volutes, oversized brackets with floral motifs, a complete entablature with the carved words ""GOVERNMENT TELEPHONES"" in the frieze, egg and dart molding and a carved Provincial shield supported by volutes; 3) the remainder of the symmetrical south facade with its tooled stone base and rectilinear basement window openings, deeply grooved ground floor brick walls, windows in rectilinear openings, two bands of corbelled brick leading to the top floor with rectilinear window openings embellished with raised brick surrounds and a metal cornice and stone capped brick parapet; 4) the west facade continuing the materials and design of the front facade and a projecting staircase section with arched doorway (now closed) and keystone; 5) the west facade continuing the materials and design of the front facade; and 6) the rear (north) facade with rectilinear openings on all floors. With the following interior elements: 1) none",,22/02/2018,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Burrows-405-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Burrows-405-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=164112&js=y,N/A,"(49.917395763244215, -97.13881092094806)",POINT (-97.138810920948 49.917395763244)
List of Historical Resources,Pritchard Avenue,591,Ukrainian Labour Temple,1918,With the following interior elements:1) auditorium including the stage curtain,,30/09/1997,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Pritchard-591-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Pritchard-591-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=178280&js=y,II,"(49.9179455251327, -97.1484819646459)",POINT (-97.148481964646 49.917945525133)
Commemorative List,Maryland Street,84,John James Wallace House,1907,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=138417&js=y,N/A,"(49.88127411843118, -97.16135115812108)",POINT (-97.161351158121 49.881274118431)
Commemorative List,St Cross Street,82,Cyrus J. McBean House,1911,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=180890&js=y,N/A,"(49.92099952788614, -97.1214757416473)",POINT (-97.121475741647 49.920999527886)
List of Historical Resources,Bannatyne Avenue,291,Maw's Garage,1906,,,19/11/1979,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Bannatyne-291-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Bannatyne-291-(114-King)-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=148133&js=y,III,"(49.898645073513165, -97.14154895393736)",POINT (-97.141548953937 49.898645073513)
Commemorative List,Dagmar Street,129,Shaarey Zedek Synagogue,1907,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=149587&js=y,N/A,"(49.90012352500496, -97.14420112241713)",POINT (-97.144201122417 49.900123525005)
List of Historical Resources,Princess Street,55,Winnipeg Hydro Showroom,1919,"With the following exterior elements:1) two-storey dark brick and terra cotta building with flat roof located mid-block on the east side of Princess Street, its main facade facing west onto Princess Street, its north and south facades facing parking lots and its rear facade hidden by the neighbouring building;2) the symmetrical main (west) facade with its central, recessed entrance framed by large openings and ornamental terra cotta, windows in rectilinear openings in terra cotta frames, upper storey windows in rectilinear openings in terra cotta frames and a terra cotta entablature; and3) the north and south facades with windows in rectilinear openings.With the following interior elements:1) none.",,04/09/2019,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Princess-55-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Princess-55-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=4036&js=y,N/A,"(49.89705447535874, -97.14296174964697)",POINT (-97.142961749647 49.897054475359)
Commemorative List,Middle Gate,45,M.L. Benard House,1924,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=139007&js=y,N/A,"(49.87768373695802, -97.15671639207157)",POINT (-97.156716392072 49.877683736958)
